"","PC1","PC2"
"A133_DQ174725",-0.00044617093315093,-0.000100842074973877
"A134_DQ174723",-0.00102776201855261,-0.000371185525229536
"A7_AY239360",-0.00240228649596228,-0.0014041848159729
"A8_AY258468",-0.00781636102164082,-0.00393764334828826
"A_I:45",-0.00197537859688393,-0.000581338260140448
"A_I:48",-0.0165496501225535,0.0149806145233514
"A_I:50",0.00209902323551214,0.00884091159427561
"A_I:51",-0.00367815943650155,0.0030261323871228
"A_I:55",-0.000477787103345816,-0.00018558749934916
"C1.11_HE578984",-0.00118270856291681,-0.000832906291854453
"C1.12_HE578985",-0.00161418090950411,-0.000521031318159438
"C1.14_HE578987",-0.0128876395507332,-0.00301031324759862
"C1.15_HE578988",-0.0134770620839035,-0.00444874908216995
"C1.17_HE578990",-0.00178665907801045,-0.000739382706392213
"C1.18_HE578991",-0.000982921527060301,-5.64158052952856e-05
"C1.19_HE578992",-0.00245596607894531,-0.00089424853622565
"C1.2_",-0.000982921527060421,-5.64158052951068e-05
"C1.7_FJ461494",-0.000446170933153974,-0.000100842074973142
"C1002_DQ838544",-0.00106776155887632,-0.0003395988843173
"C1005_DQ480633",-0.00235790738623126,-0.000857304754952565
"C1006_DQ480629",-0.000446170933154021,-0.000100842074972919
"C1007_DQ480624",-0.0005847204002266,-0.000144619616718864
"C1008_DQ480613",-0.0229999565627376,-0.00766019640687874
"C1010_DQ480607",-0.000477787103345398,-0.000185587499348773
"C1017_DQ174729",-0.0433956113552809,-0.0153695157538717
"C1026_DQ335366",-0.00118270856291659,-0.00083290629185441
"C1040_AB190269",-0.000584720400226616,-0.000144619616718958
"C1043_DQ072721",-0.000584720400226631,-0.000144619616718928
"C1044_DQ068038",-0.000584720400226677,-0.000144619616718887
"C1045_DQ068036",-0.0104072889056636,-0.00398890193524993
"C1048_DQ068026",-0.00723552214702175,-0.0029244684488085
"C1051_AF195153",0.00522444490008733,-0.00471287550113109
"C1052_AY186570",-0.00103089133338072,-0.000245461691691938
"C1054_AY186565",-0.00718723920171909,-0.00172942487204482
"C1060_DQ480600",-0.00862938328659949,-0.00319737560436688
"C1087_DQ182655",0.0107852476836427,-0.0114064306163334
"C1088_DQ182640",0.00495961710122484,-0.00449569165528033
"C1101_AB253787",0.000815203275826053,-0.000737045111659524
"C1103_AF427470",-0.00112186393463204,-0.000363302433558987
"C1104_AF427469",-0.000584720400226663,-0.0001446196167189
"C1129_DQ182651",0.000815203275826053,-0.000737045111659524
"C1145_EF634157",-0.00130470662354215,-0.000390110522697847
"C1163_AB294596",0.00192326844221932,-0.00168649319153516
"C1173_AB294662",0.00146517652307507,-0.00137382448507553
"C1197_EU099814",-0.000826919520196771,-0.000204523023349069
"C1198_EU099810",-0.0467825187974388,-0.016076872980298
"C1205_EU074960",-0.00390729698790731,-0.00129200668365192
"C1206_EU074965",-0.000862371826642049,-0.000403954918350394
"C1207_EU074964",-0.002280213322983,-0.000801775790282524
"C1208_EU074963",-0.0160052060536404,-0.00499225397583023
"C1210_EU074951",-0.00876552755617168,-0.00294716732999061
"C1211_EU074952",-0.0416949708726568,-0.0142472588064624
"C1213_EU074955",-0.016256251588085,-0.00565282298073492
"C1214_EU074956",-0.000584720400226663,-0.0001446196167189
"C1218_EU074943",-0.00172611866739886,-0.000513044394999961
"C1219_EU074945",0.000657667502726317,0.00437217918159478
"C1222_EU074948",-0.00102776201855243,-0.000371185525229745
"C1224_EU074890",-0.00158756920032625,-0.000469266853254085
"C1226_EU074881",-0.0059685676593974,-0.00113812005041391
"C1227_EU074882",-0.00217131713227756,-0.000643249053405201
"C1228_EU074883",-0.00175115058175203,-0.000629536057464981
"C1231_EU074878",-0.00224628027678998,-0.000579238330877081
"C1232_EU118163",-0.000446170933154057,-0.000100842074973041
"C1233_EU118166",0.0611459901717498,-0.055111457880239
"C1234_EU118165",-0.00467534889370844,-0.00139812615916665
"C1235_EU118167",0.00906015260300207,-0.0080462665766963
"C131_JF320826",0.00343162856698041,0.0175814754843499
"C15.12_HE579018",0.00386991069550413,-0.00338595381850816
"C15.15_HE579021",0.00369868529304879,-0.00334872888276184
"C15.16_HE579022",0.00378527510006154,-0.00331133280768543
"C15.18_HE579024",0.0122963049078682,-0.010918972445099
"C15.19_HE579025",0.0129002593873576,-0.0116596550875288
"C15.1_FJ461508",0.0100044245332781,-0.00900481905778037
"C15.20_HE579026",0.0314290381515823,-0.0281520987543064
"C15.22_KC597695",0.000875049679293268,-0.000789810134431272
"C15.2_FJ461509",0.00130830664007784,-0.00118942948595972
