"","PC1","PC2"
"C15.4_FJ461511",0.00297019307536328,-0.00258701676820609
"C15.6_FN563472",0.00586968576398209,-0.0051693535416398
"C15.7_HE579015",0.00601949927340101,-0.00734655381217515
"C15.8_HE579016",0.00450081492076767,-0.00403291470771128
"C15_AY239369",0.167312547358238,-0.147641396672305
"C15a_AY258476",0.0503070583464232,-0.0395783034460389
"C15f_AY589743",0.0307804789860418,-0.0276243892753017
"C17.2_FJ461513",0.0192699123391171,0.0946169430315627
"C17_AY239370",0.00121845106212107,0.00485971011111359
"C1_AF333515",-0.000584720400226663,-0.0001446196167189
"C1a_AF499788",-0.0110169335417459,-0.00380263987219036
"C1b.2_HE578998",-0.000584720400226663,-0.0001446196167189
"C1b/C1e_AY239363",-0.0104846862622596,-0.00302816430493455
"C1cstar_AY239364",-0.0697157130271347,-0.0184876386576147
"C1d_AY258488",-0.143361801165486,-0.0501660004960218
"C1h_AY258473",-0.00587876797044718,-0.00218798815800793
"C1j_AY589732",-0.00957552081907004,-0.00316676318073352
"C21.11_HQ630874",0.00768655570610029,0.0338739927385375
"C21.16_HQ630875",0.00021149656957226,0.00427133710662175
"C21.2_JF683324",0.00282249513646754,0.0136767817332894
"C21.4_JF683326",0.000657667502726317,0.00437217918159478
"C21.8_JF683329",0.006538880734575,0.0299354105951472
"C21.9_JF683330",0.00187611856484738,0.00923188929270837
"C21/3d/C3k_AY239372",0.0131433292573755,0.0586817294030394
"C2_AF333518",0.000815203275826053,-0.000737045111659524
"C3.10_FJ461505",-0.000446170933154057,-0.000100842074973041
"C3.12_FJ461507",-0.00114139826717219,-0.000368424778281051
"C3.14_HQ630872",0.000657667502726317,0.00437217918159478
"C3.15_FK529649",-0.0181034195488737,-0.00565747440546937
"C3.16_EU786015",-0.000446170933154057,-0.000100842074973041
"C3.1_JF683321",-0.00546288862590398,0.00192493377790741
"C3.20_HE579008",-0.00121570138502979,-0.000287231846803614
"C3.22_HE579010",-0.00729437438606567,-0.00241895885935787
"C3.5_",-0.000584720400226663,-0.0001446196167189
"C30_AY589745",0.0163159940431047,0.0731458941478005
"C31.10_HQ630880",0.00501614206941299,0.0214808488367986
"C31.1_HQ630876",0.00111968341050599,0.00481122367521317
"C31.2_JF683332",0.00361269362077619,0.0149601319751905
"C31.5_HQ630877",0.00471956819850462,0.0209203422057582
"C31.6_HQ630878",0.00401005680457445,0.0178472116482733
"C31_AY258496",0.0340350428041408,0.148173755588643
"C31a_AY589746",0.00409651134570102,0.017146769824734
"C32.1_JF683335",0.00238392241522406,0.00941713496507113
"C35.2_AY258500",0.00443899258541604,0.015409002077913
"C35a_AY258501",0.000772729424073948,0.00268236296233957
"C36_AY258480",-0.000584720400226663,-0.0001446196167189
"C38a_AY258483",-0.00106776155887645,-0.000339598884317722
"C3_AF499789",-0.0145510005986073,0.00478998233032248
"C3ff_HM185740",-0.00147810756846141,-0.000594779541652899
"C42.1_",-0.00116944080045333,-0.0002892392334378
"C42.2_",-0.0425116713459932,-0.0161821243885351
"C42_AY258487",-0.0533899355291318,-0.0185401484455334
"C42_AY765402",-0.0654905209160197,-0.0240616363491358
"C43_AY589749",-0.000477787103345377,-0.000185587499348776
"C44_AY589750",-0.00132701605285021,-0.000611843063258815
"C45.1_",-0.0131723333005428,-0.00445728629584143
"C45.2_",-0.0481903104062227,-0.0176786734395122
"C45.3_FJ461522",-0.00812417486839242,-0.00288423776889466
"C46a_AY765405",-0.00114139826717219,-0.000368424778281051
"C4_AF499794",-0.000477787103345377,-0.000185587499348776
"C58_AY589762",0.00110509089891541,0.00526405963364418
"C60_AY589764",0.00866175211003214,-0.00772529944997761
"C67_AY686647",-0.000446170933154057,-0.000100842074973041
"C91_AJ621543",0.00240216262251938,-0.00397999776308217
"C94_AJ621539",-0.000923958036499435,-0.000286429574321811
"C_I:0",0.157303514132624,0.701307560139151
"C_I:1",0.0775490540265971,0.331915966747374
"C_I:10",0.0224037987477433,0.0999629667853108
"C_I:111",0.00359496199436401,-0.00317487167875019
"C_I:117",0.00123750712420677,-0.00111696020381242
"C_I:12",0.00304050144801755,0.0146004599182416
"C_I:15",0.00954932502330159,0.0443274191291482
"C_I:16",0.00437304484459473,0.023215836322302
"C_I:172",-0.000477787103345377,-0.000185587499348776
"C_I:180",-0.000477787103345377,-0.000185587499348776
"C_I:197",-0.0354920283501321,-0.0127063284826557
"C_I:2",0.000657667502726317,0.00437217918159478
"C_I:20",0.00385227436108039,0.0163574065558412
"C_I:203",-0.0166495799351445,-0.00213831649470435
"C_I:211",-0.00230782844869757,-0.000853341219027135
"C_I:244",0.010100196484512,0.0466121581219062
"C_I:254",-0.0310265402785331,-0.0108478273102934
"C_I:279",-0.000584720400226663,-0.0001446196167189
"C_I:285",-0.00243410045931548,-0.000972010068662972
"C_I:290",-0.0174572377554743,-0.00614572404313146
"C_I:294",-0.00438609946446373,-0.00163780233889378
"C_I:297",-0.0150925947848413,-0.00471161405703864
"C_I:3",0.00933692515623477,0.0324111149918163
"C_I:305",-0.0207622348016039,-0.00764082363525795
"C_I:310",-0.682868558983404,-0.193679853136322
"C_I:314",-0.00701480371049769,-0.00186524238625605
"C_I:315",-0.000446170933154057,-0.000100842074973041
"C_I:324",-0.0127087615386057,-0.00462694783216939
"C_I:326",-0.00101276544141459,-0.000250488523928276
"C_I:327",-0.0347984163159171,-0.0122457418023514
"C_I:329",-0.000584720400226663,-0.0001446196167189
"C_I:330",-0.161797689174278,-0.0479869302034202
"C_I:335",-0.000477787103345377,-0.000185587499348776
"C_I:34",0.000930082301887599,0.00618319509573664
"C_I:347",-0.00114139826717219,-0.000368424778281051
"C_I:348",-0.00311327012018671,-0.00117339805739726
"C_I:357",-0.0181376910708292,-0.00636471638757001
"C_I:379",-0.0352584698927406,-0.0123703623561634
"C_I:393",-0.000446170933154057,-0.000100842074973041
"C_I:4",0.00211041914612995,0.00841726482250493
"C_I:40",0.00172787552044361,0.00599794592411898
"C_I:440",-0.00452566839146692,-0.0019856213463517
"C_I:5",0.000772729424073948,0.00268236296233957
"C_I:51",-0.066928437693296,-0.0160782180229349
"C_I:52",-0.0996405542943161,0.0179776598432429
"C_I:53",-0.194650103543011,-0.0156722105708775
"C_I:54",-0.00972665882016793,-0.0033602249602842
"C_I:58",0.0123949673781947,-0.0110044757672646
"C_I:6",0.00380538818442821,0.0152586580106495
"C_I:61",-0.0619012355226851,-0.0789294766732212
"C_I:64",-0.00404409306001762,-0.0013034701234981
"C_I:65",0.566354812565987,-0.493047132849572
"C_I:69",0.0250277187963998,-0.0259839617325393
"C_I:78",0.00392622565038207,-0.00355880059680187
"C_I:8",0.012064996701885,0.050260632684495
"C_I:82",0.0436134389589225,-0.0391194631377733
"D1.11_HE579040",0.00121845106212107,0.00485971011111359
"D1.12_HE579041",-0.00403844595673791,-0.00169629920051501
"D1.5_",-0.00315748991746046,-0.00105730990555379
"D1.6_HQ630881",-0.00265664151462309,-0.00130493389205718
"D112_AF174558",-0.000862371826642049,-0.000403954918350394
"D120_EU074900",-0.00130854275979611,-0.000504796993323426
"D1_AF334660",-0.00591693142932519,0.00118733226964978
"D1a_AF499802",-0.00443454731542669,-0.00218446253828284
"D2_AY686649",-0.0141998556789448,-0.00151444273245586
"D_I:0",-0.000446170933154057,-0.000100842074973041
"D_I:1",-0.0157818217784484,0.0111691357663662
"D_I:11",-0.00505852310106198,-0.00199860162798282
"D_I:12",-0.000446170933154057,-0.000100842074973041
"D_I:6",-0.0262350927861445,0.0181811416255995
"D_I:8",-0.00170247002472169,-9.77150411209868e-05
"F3.2_AM748567",-0.00132701605285021,-0.000611843063258815
"G3.1_KC597688",0.00534857304348205,0.0235785811957642
"C_denovo2",0.000815203275826053,-0.000737045111659524
"C_denovo5",0.000815203275826053,-0.000737045111659524
"C_denovo8",-0.000584720400226663,-0.0001446196167189
"C_denovo9",-0.000826919520196771,-0.000204523023349069
"C_denovo15",-0.000584720400226663,-0.0001446196167189
"C_denovo23",0.000875049679293268,-0.000789810134431272
"A_denovo25",-0.0118467807444212,-0.00413048483033544
"C_denovo26",-0.000982921527060333,-5.64158052950756e-05
"C_denovo28",-0.00411196460897973,-0.00172912804884261
"C_denovo29",-0.000584720400226663,-0.0001446196167189
"C_denovo30",0.00130830664007784,-0.00118942948595972
"C_denovo31",0.00146517652307507,-0.00137382448507553
"C_denovo38",0.000875049679293268,-0.000789810134431272
"C_denovo39",-0.000446170933154057,-0.000100842074973041
"C_denovo41",0.00130830664007784,-0.00118942948595972
"C_denovo42",-0.000446170933154057,-0.000100842074973041
"C_denovo44",0.00319250828068982,-0.00284348522175155
"C_denovo47",-0.00106776155887645,-0.000339598884317722
"C_denovo49",0.00111968341050599,0.00481122367521317
"C_denovo51",0.000875049679293268,-0.000789810134431272
"C_denovo52",-0.000584720400226663,-0.0001446196167189
"C_denovo53",-0.000477787103345377,-0.000185587499348776
"C_denovo54",0.00146517652307507,-0.00137382448507553
"C_denovo55",0.00169025295511932,-0.0015268552460908
"C_denovo59",0.000815203275826053,-0.000737045111659524
"C_denovo65",-0.00147810756846141,-0.000594779541652899
"C_denovo67",0.00146517652307507,-0.00137382448507553
"C_denovo70",-0.000584720400226663,-0.0001446196167189
"C_denovo71",-0.000477787103345377,-0.000185587499348776
"C_denovo73",0.000815203275826053,-0.000737045111659524
"C_denovo75",0.00116547135310299,0.00455742485395754
"C_denovo76",0.000657667502726317,0.00437217918159478
"C_denovo77",-0.000584720400226663,-0.0001446196167189
"C_denovo79",-0.000862371826642049,-0.000403954918350394
"C_denovo80",-0.00278445934687637,-0.00103840922695664
"C_denovo83",5.97459304967096e-07,-0.00177448288521838
"C_denovo85",0.0012581697460052,-0.00113016070594087
"C_denovo86",-0.0011827085629166,-0.000832906291854408
"C_denovo88",-0.00233547119932531,-0.000956238924488396
"C_denovo90",-0.000446170933154057,-0.000100842074973041
"C_denovo95",0.000938711728191572,0.0039537758615729
"C_denovo101",-0.00106776155887645,-0.000339598884317722
"C_denovo104",-0.00257190150952575,-0.00102761951890544
"C_denovo109",0.000875049679293268,-0.000789810134431272
"C_denovo111",-0.000584720400226663,-0.0001446196167189
"C_denovo118",-0.0011827085629166,-0.000832906291854408
"C_denovo119",0.000875049679293268,-0.000789810134431272
"C_denovo121",0.000875049679293268,-0.000789810134431272
"C_denovo124",-0.000584720400226663,-0.0001446196167189
"C_denovo126",-0.000862371826642049,-0.000403954918350394
"C_denovo129",0.00218335631937111,-0.001979239620391
"A_denovo139",-0.000477787103345377,-0.000185587499348776
"D_denovo142",-0.000477787103345377,-0.000185587499348776
"C_denovo144",0.000815203275826053,-0.000737045111659524
"C_denovo147",0.000815203275826053,-0.000737045111659524
"C_denovo149",0.000938711728191572,0.0039537758615729
"C_denovo150",-0.00116643018152537,-0.000484916440746079
"C_denovo153",0.000815203275826053,-0.000737045111659524
"C_denovo156",0.00169025295511932,-0.0015268552460908
"C_denovo157",0.00285412899607632,-0.00257834456539209
"C_denovo158",0.00299855959519716,-0.00271628473205052
"C_denovo159",0.00159595925007112,-0.00144818385945122
"C_denovo161",0.000875049679293268,-0.000789810134431272
"C_denovo162",0.00137423382529216,-0.00113883290875487
"C_denovo164",-0.000584720400226663,-0.0001446196167189
"C_denovo165",0.00137423382529216,-0.00113883290875487
"C_denovo166",-0.0015320080424458,-0.000607818961903856
"C_denovo167",0.000875049679293268,-0.000789810134431272
"D_denovo168",-0.000446170933154057,-0.000100842074973041
"C_denovo171",0.00130830664007784,-0.00118942948595972
"C_denovo173",-0.000982921527060333,-5.64158052950756e-05
"C_denovo174",0.000815203275826053,-0.000737045111659524
"C_denovo175",-0.00125245130443057,-0.00043059026505278
"C_denovo178",0.0012581697460052,-0.00113016070594087
"C_denovo185",-0.000862371826642049,-0.000403954918350394
"C_denovo193",0.00137423382529216,-0.00113883290875487
"C_denovo195",0.000938711728191572,0.0039537758615729
"C_denovo196",0.000938711728191572,0.0039537758615729
"C_denovo199",-0.000446170933154057,-0.000100842074973041
"C_denovo201",0.0021235099159039,-0.00192647459761925
"C_denovo202",-0.000446170933154057,-0.000100842074973041
"C_denovo203",-0.000862371826642049,-0.000403954918350394
"C_denovo204",0.00130830664007784,-0.00118942948595972
"C_denovo209",0.000938711728191572,0.0039537758615729
"C_denovo211",0.00277626078185372,-0.00251645203488933
"C_denovo212",0.00241116252589717,-0.00218522897111075
"C_denovo214",0.000815203275826053,-0.000737045111659524
"C_denovo215",0.0258766030240307,-0.0231716713693306
"C_denovo216",0.000772729424073948,0.00268236296233957
"C_denovo217",0.00362388045812857,-0.00328033318687219
"C_denovo219",0.00272028013230515,-0.0024660290668243
"C_denovo221",-0.00209552357742888,-0.000710784409547472
"C_denovo222",0.00555252156370744,-0.00503290406977867
"C_denovo225",-0.000477787103345377,-0.000185587499348776
"C_denovo226",0.00110509089891541,0.00526405963364418
"C_denovo230",0.00109280443157013,0.00379343408054789
"C_denovo231",0.000772729424073948,0.00268236296233957
"C_denovo233",0.00137423382529216,-0.00113883290875487
"C_denovo235",0.000875049679293268,-0.000789810134431272
"C_denovo237",0.000413250687154518,-0.00228109015130563
"C_denovo239",-0.00116643018152537,-0.000484916440746079
"C_denovo240",-0.00126335874972965,-0.000522822525582012
"C_denovo244",0.00159595925007112,-0.00144818385945122
"C_denovo247",0.0012581697460052,-0.00113016070594087
"C_denovo249",-0.000584720400226663,-0.0001446196167189
"C_denovo250",0.006058139345532,-0.00548825929825131
"C_denovo254",-0.000446170933154057,-0.000100842074973041
"C_denovo259",-0.00102776201855243,-0.000371185525229745
"C_denovo266",-0.00102776201855243,-0.000371185525229745
"F_denovo273",0.00797848081037454,0.0336507091307382
"C_denovo276",-0.000982921527060333,-5.64158052950756e-05
"C_denovo277",0.000815203275826053,-0.000737045111659524
"C_denovo282",-0.00106250750357204,-0.000330207116067677
"C_denovo285",-0.00126335874972965,-0.000522822525582012
"C_denovo288",-0.00130770918077288,-0.000585053399258651
"C_denovo295",-0.000630980984803128,-0.000142612230084712
"C_denovo303",0.00111968341050599,0.00481122367521317
"C_denovo308",0.000815203275826053,-0.000737045111659524
"C_denovo309",0.000815203275826053,-0.000737045111659524
"C_denovo311",-0.000446170933154057,-0.000100842074973041
"G_denovo315",0.00210026828124116,0.00827384640835933
"C_denovo316",-0.000446170933154057,-0.000100842074973041
"C_denovo318",0.000815203275826053,-0.000737045111659524
"C_denovo320",0.00130830664007784,-0.00118942948595972
"C_denovo321",-0.000446170933154057,-0.000100842074973041
"C_denovo323",0.00277626078185372,-0.00251645203488933
"C_denovo324",0.00121845106212107,0.00485971011111359
"C_denovo329",0.000657667502726317,0.00437217918159478
"C_denovo332",-0.000584720400226663,-0.0001446196167189
"D_denovo335",-0.00130770918077288,-0.000585053399258651
"C_denovo341",-0.00345274662922191,-0.00153862050719121
"C_denovo343",0.00277626078185372,-0.00251645203488933
"C_denovo345",-0.000982921527060333,-5.64158052950756e-05
"C_denovo349",-0.000862371826642049,-0.000403954918350394
"C_denovo353",-0.00102776201855243,-0.000371185525229745
"C_denovo354",0.00329069976205566,0.01285092779474
"C_denovo355",0.000815203275826053,-0.000737045111659524
"C_denovo356",0.000815203275826053,-0.000737045111659524
"C_denovo359",0.00289642934267531,0.0119907381702059
"C_denovo360",-0.00106776155887645,-0.000339598884317722
"C_denovo362",-0.000584720400226663,-0.0001446196167189
"C_denovo364",-0.0027147166053624,-0.00144072525375824
"C_denovo366",0.00548148603587839,-0.0048689814741313
"C_denovo368",0.000875049679293268,-0.000789810134431272
"C_denovo370",0.00130830664007784,-0.00118942948595972
"C_denovo371",-0.00610935656184725,-0.00294994506201491
"C_denovo375",-0.00132701605285021,-0.000611843063258815
"C_denovo377",-0.000446170933154057,-0.000100842074973041
"C_denovo379",-0.000584720400226663,-0.0001446196167189
"C_denovo381",0.00110509089891541,0.00526405963364418
"C_denovo382",0.00192326844221932,-0.00168649319153516
"C_denovo384",-0.000446170933154057,-0.000100842074973041
"C_denovo385",-0.00125245130443057,-0.00043059026505278
"C_denovo386",-0.00130854275979611,-0.000504796993323426
"C_denovo387",0.00159595925007112,-0.00144818385945122
"C_denovo390",0.00308773211834763,-0.00279906751434313
"C_denovo396",0.00130830664007784,-0.00118942948595972
"C_denovo398",-0.00126335874972965,-0.000522822525582012
"C_denovo400",-0.00126335874972965,-0.000522822525582012
"C_denovo402",0.00277348316315291,-0.00256325397103525
"C_denovo406",-0.00147810756846141,-0.000594779541652899
"C_denovo407",-0.00114139826717219,-0.000368424778281051
"C_denovo408",0.00562761215922923,-0.00514159853642734
"C_denovo409",0.000875049679293268,-0.000789810134431272
"C_denovo410",-0.000446170933154057,-0.000100842074973041
"C_denovo411",-0.000477787103345377,-0.000185587499348776
"C_denovo414",0.00130830664007784,-0.00118942948595972
"C_denovo416",0.0012581697460052,-0.00113016070594087
"C_denovo419",-0.0015320080424458,-0.000607818961903856
"C_denovo420",0.00110509089891541,0.00526405963364418
"C_denovo421",-0.000477787103345377,-0.000185587499348776
"C_denovo426",-0.0015320080424458,-0.000607818961903856
"C_denovo428",-0.000446170933154057,-0.000100842074973041
"C_denovo429",0.000815203275826053,-0.000737045111659524
"C_denovo430",0.00536479450759563,-0.00479589351786703
"C_denovo433",0.000772729424073948,0.00268236296233957
"C_denovo434",-0.000826919520196771,-0.000204523023349069
"A_denovo441",-0.00354548262109741,-0.00129095624196632
"C_denovo444",0.000815203275826053,-0.000737045111659524
"C_denovo445",0.00137423382529216,-0.00113883290875487
"C_denovo450",-0.00671756965021673,-0.0026931439560471
"C_denovo451",-0.000446170933154057,-0.000100842074973041
"C_denovo452",0.000815203275826053,-0.000737045111659524
"C_denovo453",-0.00239437986908784,-0.00101177388025425
"C_denovo456",-0.000446170933154057,-0.000100842074973041
"C_denovo457",0.00111968341050599,0.00481122367521317
"C_denovo469",0.00137423382529216,-0.00113883290875487
"C_denovo470",-0.000982921527060333,-5.64158052950756e-05
"C_denovo474",-0.000477787103345377,-0.000185587499348776
"C_denovo475",-0.00114139826717219,-0.000368424778281051
"C_denovo477",-0.000477787103345377,-0.000185587499348776
"C_denovo480",-0.000584720400226663,-0.0001446196167189
"C_denovo487",-0.000982921527060333,-5.64158052950756e-05
"C_denovo489",-0.00106776155887645,-0.000339598884317722
"C_denovo492",-0.000584720400226663,-0.0001446196167189
"C_denovo499",-0.000477787103345377,-0.000185587499348776
"C_denovo500",0.00130830664007784,-0.00118942948595972
"C_denovo502",0.000875049679293268,-0.000789810134431272
"C_denovo504",-0.000477787103345377,-0.000185587499348776
"C_denovo506",-0.000477787103345377,-0.000185587499348776
"C_denovo507",-0.000584720400226663,-0.0001446196167189
"C_denovo510",-0.00374915462898263,-0.0013299733339192
"C_denovo511",-0.00232021286330702,-0.000770189149370508
"C_denovo512",0.000772729424073948,0.00268236296233957
"C_denovo513",0.00121845106212107,0.00485971011111359
"C_denovo516",-0.000477787103345377,-0.000185587499348776
"C_denovo517",-0.00125245130443057,-0.00043059026505278
"C_denovo519",-0.00491706177981837,-0.0016395054444794
"C_denovo523",0.00115287152876418,-0.00104233919298969
"C_denovo524",-0.00126335874972965,-0.000522822525582012
"C_denovo526",0.00218335631937111,-0.001979239620391
"C_denovo529",0.000815203275826053,-0.000737045111659524
"C_denovo530",-0.00116643018152537,-0.000484916440746079
"C_denovo531",0.00137423382529216,-0.00113883290875487
"C_denovo532",-0.000826919520196771,-0.000204523023349069
"C_denovo535",0.000657667502726317,0.00437217918159478
"C_denovo540",-0.00114139826717219,-0.000368424778281051
"C_denovo541",-0.00511656698746299,-0.0020815647715702
"C_denovo542",-0.00130770918077288,-0.000585053399258651
"C_denovo544",-0.00211672844267246,-0.000752438578622763
"C_denovo547",0.00273044703855768,0.0107193252709726
"C_denovo552",0.0012581697460052,-0.00113016070594087
"C_denovo566",-0.000862371826642049,-0.000403954918350394
"C_denovo567",0.00110509089891541,0.00526405963364418
"A_denovo569",-0.00187668409942758,-0.000865276758104502
"C_denovo571",0.0012581697460052,-0.00113016070594087
"C_denovo579",0.000815203275826053,-0.000737045111659524
"C_denovo581",0.00277626078185372,-0.00251645203488933
"F_denovo586",-0.00132701605285021,-0.000611843063258815
"C_denovo587",-0.00184807914995631,-0.000667442142300905
"C_denovo594",0.00116547135310299,0.00455742485395754
"C_denovo599",-0.000862371826642049,-0.000403954918350394
"C_denovo600",0.00476267879058654,-0.00419915058536556
"C_denovo602",0.00857845163067564,0.0365530659838646
"C_denovo603",-0.000446170933154057,-0.000100842074973041
"C_denovo607",0.00441359922419959,-0.00403084043710719
"C_denovo609",-0.000446170933154057,-0.000100842074973041
"C_denovo610",0.000815203275826053,-0.000737045111659524
"C_denovo611",-0.000446170933154057,-0.000100842074973041
"C_denovo613",-0.00125245130443057,-0.00043059026505278
"C_denovo614",0.00146517652307507,-0.00137382448507553
"C_denovo616",0.00130830664007784,-0.00118942948595972
"C_denovo618",0.00730266277876673,-0.00654681021258157
"C_denovo620",0.000657667502726317,0.00437217918159478
"C_denovo621",0.000520370498688745,0.00511944001692527
"C_denovo623",-0.00218938787949226,-0.0010157979816092
"C_denovo625",0.0174455565814129,-0.015745576138689
"C_denovo628",-0.00116643018152537,-0.000484916440746079
"C_denovo631",0.00366803176027454,-0.00339106507856527
"C_denovo632",0.00159595925007112,-0.00144818385945122
"A_denovo633",-0.00130770918077288,-0.000585053399258651
"C_denovo640",-0.000584720400226663,-0.0001446196167189
"C_denovo642",-0.00125245130443057,-0.00043059026505278
"C_denovo643",-0.00169880014065767,-0.000617308334576498
"C_denovo644",0.000657667502726317,0.00437217918159478
"C_denovo646",0.000938711728191572,0.0039537758615729
"C_denovo647",-0.00134439761208079,-0.000438726030056119
"C_denovo650",-0.000862371826642049,-0.000403954918350394
"C_denovo663",-0.000862371826642049,-0.000403954918350394
"C_denovo664",-0.000446170933154057,-0.000100842074973041
"C_denovo665",0.00146517652307507,-0.00137382448507553
"C_denovo669",0.000875049679293268,-0.000789810134431272
"C_denovo672",-0.00130770918077288,-0.000585053399258651
"C_denovo673",0.00169025295511932,-0.0015268552460908
"C_denovo674",-0.00547151555969021,-0.00327671002274408
"C_denovo676",-0.00106776155887645,-0.000339598884317722
"C_denovo678",-0.00303382784817174,-0.00109809779425861
"C_denovo680",-0.000584720400226663,-0.0001446196167189
"C_denovo682",-0.00114139826717219,-0.000368424778281051
"A_denovo683",-0.000862371826642049,-0.000403954918350394
"C_denovo686",0.0101283793996574,-0.00907196568471336
"C_denovo688",0.000875049679293268,-0.000789810134431272
"C_denovo689",0.000815203275826053,-0.000737045111659524
"C_denovo691",-0.0057436152922606,-0.00192770031666393
"C_denovo693",0.00130830664007784,-0.00118942948595972
"C_denovo694",-0.000446170933154057,-0.000100842074973041
"C_denovo700",-0.0074283952430991,-0.00204651825919071
"C_denovo703",-0.000982921527060333,-5.64158052950756e-05
"C_denovo705",-0.000862371826642049,-0.000403954918350394
"C_denovo711",-0.00195589467180679,-0.000780367041001682
"C_denovo712",-0.000477787103345377,-0.000185587499348776
"C_denovo717",0.00146517652307507,-0.00137382448507553
"C_denovo718",-0.00106776155887645,-0.000339598884317722
"C_denovo719",0.000815203275826053,-0.000737045111659524
"C_denovo720",-0.00106776155887645,-0.000339598884317722
"C_denovo722",-0.0015086784367261,-0.000431049191040712
