"","Clade","Subtype"
"CladeA","CladeA","A_denovo139"
"CladeA","CladeA","A_denovo25"
"CladeA","CladeA","A_denovo281"
"CladeA","CladeA","A_denovo432"
"CladeA","CladeA","A_denovo441"
"CladeA","CladeA","A_denovo569"
"CladeA","CladeA","A_denovo633"
"CladeA","CladeA","A_denovo68"
"CladeA","CladeA","A_denovo683"
"CladeA","CladeA","A_denovo762"
"CladeA","CladeA","A_denovo768"
"CladeA","CladeA","A_denovo839"
"CladeA","CladeA","A_denovo92"
"CladeA","CladeA","A_I:45"
"CladeA","CladeA","A_I:48"
"CladeA","CladeA","A_I:50"
"CladeA","CladeA","A_I:51"
"CladeA","CladeA","A_I:55"
"CladeA","CladeA","A121"
"CladeA","CladeA","A133"
"CladeA","CladeA","A134"
"CladeA","CladeA","A16"
"CladeA","CladeA","A7"
"CladeA","CladeA","A8"
"CladeC","CladeC","C_denovo1"
"CladeC","CladeC","C_denovo10"
"CladeC","CladeC","C_denovo100"
"CladeC","CladeC","C_denovo101"
"CladeC","CladeC","C_denovo102"
"CladeC","CladeC","C_denovo103"
"CladeC","CladeC","C_denovo104"
"CladeC","CladeC","C_denovo105"
"CladeC","CladeC","C_denovo106"
"CladeC","CladeC","C_denovo107"
"CladeC","CladeC","C_denovo108"
"CladeC","CladeC","C_denovo109"
"CladeC","CladeC","C_denovo11"
"CladeC","CladeC","C_denovo110"
"CladeC","CladeC","C_denovo111"
"CladeC","CladeC","C_denovo112"
"CladeC","CladeC","C_denovo113"
"CladeC","CladeC","C_denovo115"
"CladeC","CladeC","C_denovo116"
"CladeC","CladeC","C_denovo117"
"CladeC","CladeC","C_denovo118"
"CladeC","CladeC","C_denovo119"
"CladeC","CladeC","C_denovo12"
"CladeC","CladeC","C_denovo120"
"CladeC","CladeC","C_denovo121"
"CladeC","CladeC","C_denovo122"
"CladeC","CladeC","C_denovo123"
"CladeC","CladeC","C_denovo124"
"CladeC","CladeC","C_denovo125"
"CladeC","CladeC","C_denovo126"
"CladeC","CladeC","C_denovo127"
"CladeC","CladeC","C_denovo128"
"CladeC","CladeC","C_denovo129"
"CladeC","CladeC","C_denovo130"
"CladeC","CladeC","C_denovo131"
"CladeC","CladeC","C_denovo132"
"CladeC","CladeC","C_denovo133"
"CladeC","CladeC","C_denovo134"
"CladeC","CladeC","C_denovo135"
"CladeC","CladeC","C_denovo136"
"CladeC","CladeC","C_denovo137"
"CladeC","CladeC","C_denovo138"
"CladeC","CladeC","C_denovo14"
"CladeC","CladeC","C_denovo140"
