Date,Habitat,Species,Site,Sym.Dom,CoralID,Sequin,Bead,Respiration,LipidID,ChlaID,ProteinID,SymDensID,AFDWID,DNAID,CNID,CatID,LPOID,vol.ml,SA.cm2,Chla.ugcm2,SolPro.mgcm2,TotPro.mgcm2,Tissue,AFDW,Density,Resp.area,Resp.Biom,LPO,CAT,Lipids,WE.SE,TAG,FFA,Chol,Sulf,PE,PC,C13
6/3/12,Upwelling,Pocillopora,D,C1,9,No Sequin,Dark Blue,Yes,1,1,1,1,1,212,1,1,1,71,45.109525,5.148,0.809,2.030389994,8.6567,5.666209077,12761.19,0.165,0.024,98.08582281,6.157041101,62.06896552,0.306,0.033,0.18,2.25,0.133,1.144,0.861,-18.18394685
6/3/12,Upwelling,Pocillopora,D,C1,8,No Sequin,Red,Yes,2,5,5,5,5,216,5,5,5,39,26.442895,4.517,0.922,1.342305089,7.9643,4.867091897,93650.94,0.702,0.101,363.2647892,8.992448133,63.15789474,0.583,0.133,0.118,1.723,0.157,1.376,0.487,-16.70857513
6/3/12,Upwelling,Pocillopora,D,C1,10,No Sequin,Black,Yes,3,2,2,2,2,213,2,2,2,65,20.96761,7.116,1.024,1.771714461,7.44,4.340027309,22500,0.336,0.049,507.0642135,18.75962797,64.81481481,0.324,0.006,0.157,1.829,0.138,0.993,0.315,-17.16018531
6/3/12,Upwelling,Pocillopora,D,C1,7,No Sequin,Green,Yes,4,7,7,7,7,217,7,7,none,62,30.24247,4.757,0.951,1.354984395,7.9954,4.920233037,151163.27,0.387,0.056,,13.48088094,131.9444444,0.493,0.075,0.194,2.465,0.172,0.922,0.882,-16.28174506
6/3/12,Upwelling,Pocillopora,D,C1,5,No Sequin,Pink,Yes,5,3,3,3,3,214,3,3,3,39,25.507615,5.084,0.96,1.493898158,6.7274,4.58686553,40000,0.507,0.073,254.8223477,8.426755058,62.14689266,0.393,0.017,0.192,1.379,0.171,1.46,0.414,-17.70065429
6/3/12,Upwelling,Pocillopora,D,C1,4,No Sequin,Yellow,No,6,37,37,37,37,249,37,none,none,94,19.33087,5.465,0.944,1.671375553,8.7528,6.321495101,130577.59,,,,,105.2631579,0.64,0.13,0.108,1.56,0.105,1.041,0.396,-16.95667854
6/3/12,Upwelling,Pocillopora,D,C1,3,No Sequin,Light Blue,No,7,38,38,38,38,248,38,none,none,58,19.856965,5.61,0.625,1.103026177,6.718,4.673423154,146752.07,,,,,78.51239669,0.46,0.013,0.111,1.394,0.168,1.151,0.4,-17.6659117
6/3/12,Upwelling,Pocillopora,D,C1,6,No Sequin,White,Yes,8,4,4,4,4,215,4,4,4,54,23.46169,4.285,0.619,1.693050375,6.6747,3.222274269,32264.15,0.059,0.009,183.1101603,12.49034163,73.97260274,0.443,0.021,0.195,1.366,0.119,1.281,0.375,-18.07045473
6/3/12,Upwelling,Pocillopora,D,C1,1,No Sequin,Brown,No,9,39,39,39,39,251,39,none,none,102,34.99681,5.465,0.774,1.204080635,7.2864,5.82910271,35100,,,,,133.8582677,0.979,0.201,0.277,2.364,0.232,1.843,0.737,-17.55516951
6/3/12,Upwelling,Pocillopora,D,C1,2,No Sequin,Purple,No,10,40,40,40,40,250,40,none,none,85,31.937665,5.342,0.698,1.613060671,7.9843,5.322868782,92861.7,,,,,137.0967742,0.783,0.263,0.285,1.42,0.176,1.633,0.864,-16.64605355
6/3/12,Upwelling,Pocillopora,C,C1,10,Black,White,No,11,36,36,36,36,246,36,none,none,69,30.67114,2.701,0.645,1.037470681,6.0741,4.049409314,29595.54,,,,,140.776699,0.639,0.054,0.121,2.541,0.087,1.216,0.427,-17.45832719
6/3/12,Upwelling,Pocillopora,C,C1,9,Black,Purple,No,12,33,33,33,33,245,33,none,none,83,11.595325,4.275,0.549,1.405255907,7.1581,5.010640064,61707.14,,,,,175.3731343,0.651,0.37,0.129,2.441,0.229,1.294,0.617,-15.14008484
6/3/12,Upwelling,Pocillopora,C,C1,8,Black,Black,Yes,13,10,10,10,10,222,10,10,10,104,36.964795,7.264,0.735,3.708862332,10.4099,7.596417077,234738.81,0.513,0.064,102.1767723,8.130342904,112.3595506,0.298,0.05,0.102,1.609,0.1,0.878,0.586,-17.34275687
6/3/12,Upwelling,Pocillopora,C,C1,5,Black,Pink,Yes,14,8,8,8,8,219,8,8,8,65,32.34685,5.709,0.976,1.777080726,8.4398,5.827460788,89447.37,0.89,0.111,290.76938,9.762079542,114.0939597,0.291,0.047,0.113,1.443,0.097,1.15,0.64,-16.79897888
6/3/12,Upwelling,Pocillopora,C,C1,6,Black,Red,Yes,15,9,9,9,9,220,9,9,9,53,15.20005,3.89,0.723,1.905909569,9.0658,5.578929017,150709.09,0.027,0.003,156.8128951,20.06430233,99.71910112,0.637,1.129,0.241,2.542,0.201,1.265,0.384,-16.82236217
6/3/12,Upwelling,Pocillopora,C,C1,4,Black,No Bead,Yes,16,11,11,11,11,221,11,11,11,84,35.54239,4.94,1.257,1.781496652,11.3442,7.09012534,125035.71,,,232.8359405,9.913858296,121.3017751,0.566,0.171,0.126,1.825,0.265,1.329,0.285,-16.23664721
6/3/12,Upwelling,Pocillopora,C,C1,3,Black,Yellow,Yes,17,6,6,6,6,218,6,6,6,98,54.929965,3.321,0.801,1.172240194,6.7795,4.103406947,43757.14,0.416,0.052,279.5416821,14.56015009,97.7443609,0.276,0.045,0.13,1.7,0.093,0.863,0.321,-16.79499495
6/3/12,Upwelling,Pocillopora,C,C1,1,Black,Green,No,18,34,34,34,34,244,34,none,none,94,26.287015,20.314,0.687,4.453769697,14.6612,11.80050302,156439.49,,,,,78.31325301,0.251,0.006,0.122,1.037,0.096,0.893,0.468,-15.36079916
6/3/12,Upwelling,Pocillopora,C,C1,2,Black,Orange,No,19,35,35,35,35,247,35,none,none,83,24.455425,2.114,0.673,1.208109416,7.4666,5.430287963,94750,,,,,83.95061728,0.265,0.022,0.149,1.532,0.093,0.814,0.433,-16.71049063
6/3/12,Upwelling,Pocillopora,C,C1,7,Black,Light Blue,Yes,20,12,12,12,12,223,12,12,none,60,35.639815,3.433,0.653,1.351780188,6.229,3.872073971,101442.86,0.408,0.051,,10.90369993,82.4742268,0.209,0.03,0.104,1.992,0.122,1.076,0.493,-17.5961382
6/3/12,NonUpwelling,Pocillopora,B,C1,9,Clear,Green,Yes,21,15,15,15,15,226,15,15,15,91,35.717755,12.291,0.891,2.829296991,10.9553,7.898032785,77601.4,0.332,0.041,209.5016617,8.231354456,88.94230769,0.223,0.092,0.197,3.197,0.185,1.246,0.346,-15.30823854
6/3/12,NonUpwelling,Pocillopora,B,C1,8,Clear,Purple,Yes,22,16,16,16,16,227,16,16,16,87,30.339895,3.331,0.944,1.41608332,9.4628,5.448271986,98709.68,0.652,0.081,454.5827765,18.97542135,87.67123288,0.217,0.057,0.127,3.041,0.111,1.263,0.22,-18.05859737
6/3/12,NonUpwelling,Pocillopora,B,C1,6,Clear,Pink,No,23,31,31,31,31,243,31,none,none,44,22.0198,2.881,1.013,1.149975151,8.3924,4.396043561,55033.04,,,,,93.82716049,0.181,0.045,0.108,2.254,0.11,1.271,0.309,-15.78452738
6/3/12,NonUpwelling,Pocillopora,B,C1,10,Clear,Light Blue,Yes,24,13,13,13,13,224,13,13,13,38,28.68367,4.708,0.717,0.979367533,6.0941,3.841907259,48748.7,0.495,0.062,568.6883309,10.94757349,68.51119895,0.396,0.154,0.255,3.298,0.307,1.411,0.496,-15.46393076
