Date,Habitat,Species,Site,Sym.Dom,CoralID,Sequin,Bead,Respiration,LipidID,ChlaID,ProteinID,SymDensID,AFDWID,DNAID,CNID,CatID,LPOID,vol.ml,SA.cm2,Chla.ugcm2,SolPro.mgcm2,TotPro.mgcm2,Tissue,AFDW,Density,Resp.area,Resp.Biom,LPO,CAT,Lipids,WE.SE,TAG,FFA,Chol,Sulf,PE,PC,C13
6/3/12,NonUpwelling,Pocillopora,B,C1,7,Clear,White,No,25,29,29,29,29,241,29,none,none,54,24.358,2.152,0.584,1.002133028,6.4291,4.433861565,58132.65,,,,,56.41025641,0.251,0.022,0.19,2.263,0.13,0.899,0.169,-15.62269105
6/3/12,NonUpwelling,Pocillopora,B,C1,5,Clear,No Bead,Yes,26,17,17,17,17,228,17,17,17,78,29.8138,5.268,0.613,1.78387314,7.3255,4.970852424,139818.9,0.832,0.104,293.3210955,15.42224065,84.77508651,0.402,0.139,0.178,3.288,0.235,1.535,0.219,-16.3159145
6/3/12,NonUpwelling,Pocillopora,B,C1,1,Clear,Red,Yes,27,18,18,18,18,229,18,18,none,91,34.081015,8.183,0.63,3.141467797,10.9474,7.209292329,276225,0.648,0.081,,9.193970061,52.08333333,0.129,0.112,0.176,2.484,0.263,0.95,0.122,-14.81436272
6/3/12,NonUpwelling,Pocillopora,B,C1,2,Clear,Orange,No,28,30,30,30,30,240,30,none,none,114,47.252875,5.33,1.052,1.265887053,8.9264,5.790123881,29971.55,,,,,75.17084282,0.34,0.133,0.159,2.804,0.218,0.86,0.289,-16.70434774
6/3/12,NonUpwelling,Pocillopora,B,C1,4,Clear,Black,Yes,29,32,32,32,32,242,32,none,none,88,33.301615,3.752,1.122,1.264831568,9.7773,5.285028969,79578.95,,,,,82.80254777,0.39,0.155,0.205,3.391,0.199,1.664,0.225,-15.24198814
6/3/12,NonUpwelling,Pocillopora,B,C1,3,Clear,Yellow,Yes,30,14,14,14,14,225,14,14,14,102,43.044115,6.281,0.704,2.695224758,11.5521,7.701401225,189991.53,0.548,0.068,132.7782808,9.310680036,83.79888268,0.26,0.075,0.1,2.039,0.138,0.945,0.258,-16.04355277
6/3/12,NonUpwelling,Pocillopora,A,C1,8,Pink,Brown,Yes,31,21,21,21,21,232,21,21,21,70,40.433125,7.523,0.83,2.094521457,10.2144,7.098140448,152782.26,0.522,0.073,259.7769171,6.803319859,101.3824885,0.214,0.16,0.112,2.427,0.159,1.25,0.668,-14.90471351
6/3/12,NonUpwelling,Pocillopora,A,C1,6,Pink,Purple,No,32,28,28,28,28,238,28,none,none,78,,,,,,,157057.38,,,,,72.11538462,0.298,0.198,0.101,1.923,0.081,1.042,1.646,-14.84957299
6/3/12,NonUpwelling,Pocillopora,A,C1,10,Pink,Dark Blue,No,33,26,26,26,26,237,26,none,none,64,26.559805,4.586,0.928,1.753015864,8.6748,5.783174989,132196.72,,,,,78.125,0.385,0.141,0.14,2.929,0.089,0.995,0.707,-14.91705609
6/3/12,NonUpwelling,Pocillopora,A,C1,9,Pink,Light Blue,Yes,34,24,24,24,24,235,24,24,none,58,26.715685,5.173,0.661,1.882671171,8.684,5.427523195,96450,0.577,0.081,,12.38727927,80.59701493,0.353,0.129,0.125,2.423,0.054,1.029,1.935,-16.0252215
6/3/12,NonUpwelling,Pocillopora,A,C1,7,Pink,Orange,Yes,35,20,20,20,20,231,20,20,20,97,47.603605,3.749,0.723,1.09823007,6.113,4.279087687,716921.05,0.499,0.07,386.2270192,18.31058666,76.45259939,0.286,0.141,0.124,2.422,0.082,1.249,0.665,-15.63117647
6/3/12,NonUpwelling,Pocillopora,A,C1,2,Pink,Green,No,36,25,25,25,25,236,25,25,none,69,32.132515,3.605,0.843,1.473714825,7.5158,4.7241867,102115.38,,,,,156.9911504,0.279,0.191,0.152,3.507,0.201,1.467,0.863,-15.02771634
6/3/12,NonUpwelling,Pocillopora,A,C1,3,Pink,Yellow,No,37,27,27,27,27,239,27,none,none,83,24.28006,5.737,1.341,1.972215157,9.5716,6.153197315,120798.17,,,,,85.6741573,0.324,0.165,0.177,2.475,0.037,1.626,0.691,-16.69370709
6/3/12,NonUpwelling,Pocillopora,A,C1,5,Pink,Pink,Yes,38,22,22,22,22,233,22,22,22,109,43.940425,4.912,1.005,1.15905271,8.1861,3.720947169,50850,0.818,0.115,567.8143058,19.04186362,143.7908497,0.688,0.353,0.21,3.237,0.21,2.498,0.823,-17.39809031
6/3/12,NonUpwelling,Pocillopora,A,C1,4,Pink,Black,Yes,39,23,23,23,23,234,23,23,23,51,76.30501,3.193,0.486,0.609511207,5.0128,2.94082918,184699.12,0.212,0.03,443.1028436,7.711886938,164.9685535,0.411,0.264,0.275,4.24,0.181,2.826,1.543,-15.13706309
6/3/12,NonUpwelling,Pocillopora,A,C1,1,Pink,No Bead,Yes,40,19,19,19,19,230,19,19,19,95,35.46445,4.396,0.86,1.387727662,7.7683,4.553856045,84491.38,0.089,0.013,449.0915693,20.35607809,163.5220126,0.521,0.387,0.2,4.961,0.099,1.656,0.836,-17.62268796
6/6/12,NonUpwelling,Montipora,A,C15,1,none,none,No,61,74,74,74,74,284,74,none,none,41,12.26,4.255,0.772,0.284926591,10.8687,5.852365416,189000,,,,,57.69230769,0.399,0.189,0.216,1.755,0.953,0.886,0.372,-12.95235591
6/6/12,NonUpwelling,Montipora,A,C31,2,none,none,No,62,75,75,75,75,286,75,none,none,48,13.51,3.237,0.841,0.926247224,11.0141,4.974093264,607097.56,,,,,26.17801047,0.611,0.68,0.282,2.327,0.735,1.142,0.361,-13.90502186
6/6/12,NonUpwelling,Montipora,A,C31,3,none,none,Yes,63,56,56,56,56,268,56,56,56,27,7.74,2.635,0.478,0.234418605,6.9767,4.011627907,173692.91,0.95,0.115,595.2380952,234.3823829,33.2594235,0.571,0.412,0.313,2.523,1.189,0.957,0.344,-15.21898179
6/6/12,NonUpwelling,Montipora,A,C15,4,none,none,No,64,73,73,73,73,285,73,none,none,42,11.51,2.967,0.702,0.661198957,8.0278,4.561251086,212548.87,,,,,29.64959569,0.57,0.196,0.183,2.612,1.426,0.928,0.17,-15.06838596
6/6/12,NonUpwelling,Montipora,A,C31,5,none,none,Yes,65,54,54,54,54,266,54,54,54,44,9.25,3.224,0.883,1.054572973,9.5135,4.756756757,202942.62,0.75,0.091,180.4239964,70.150049,51.67173252,0.929,0.435,0.203,1.388,0.773,1.664,0.312,-14.67903104
6/6/12,NonUpwelling,Montipora,A,C31,6,none,none,Yes,66,57,57,57,57,267,57,57,57,30,9.5,2.503,0.403,0.529578947,7.5789,3.789473684,133096.15,0.613,0.075,127.5810903,93.0435547,32.93413174,0.496,0.329,0.166,1.41,0.765,1.702,0.247,-16.91444477
6/6/12,NonUpwelling,Montipora,A,C31,7,none,none,Yes,67,55,55,55,55,265,55,55,55,16,5.49,1.718,0.446,0.361967213,4.9545,2.33151184,98547.17,1.266,0.154,284.6122159,128.4184002,35.71428571,0.692,0.432,0.238,2.405,0.718,1.557,0.176,-16.02265903
6/6/12,NonUpwelling,Montipora,A,C31,8,none,none,No,68,76,76,76,76,287,76,none,none,27,5.99,3.042,0.547,0.052737896,6.7613,1.352253756,146094.83,,,,,28.13299233,0.403,0.154,0.204,1.495,0.556,2.089,0.213,-16.65683633
6/6/12,NonUpwelling,Montipora,A,C15,9,none,none,Yes,69,58,58,58,58,270,58,58,58,24,,,,,,,172437.5,1.098,0.133,,,53.4591195,0.882,0.207,0.369,1.49,0.844,1.078,0.306,-16.26683147
6/6/12,NonUpwelling,Montipora,A,C31,10,none,none,Yes,70,59,59,59,59,269,59,59,,24,5.74,2.358,0.504,0.444041812,8.3624,3.135888502,121655.17,0.384,0.047,,147.1593647,21.10817942,0.406,0.156,0.147,2.396,0.862,1.209,0.163,-15.94189729
6/6/12,NonUpwelling,Montipora,B,C31,1,none,none,No,71,77,77,77,77,288,77,none,none,65,12.51,4.118,1.202,1.791007194,11.1711,5.715427658,104237.29,,,,,59.19003115,0.554,0.742,0.166,2.736,0.777,1.195,0.2,-14.05343946
6/6/12,NonUpwelling,Montipora,B,C15,2,none,none,Yes,72,63,63,63,63,273,63,63,63,23,9.75,2.122,0.456,0.338984615,9.3179,4.835897436,144825,1.611,0.145,472.5607289,39.25351449,133.5748792,1.084,1.208,0.363,3.239,1.674,0.922,0.214,-14.06458316
6/6/12,NonUpwelling,Montipora,B,C31,3,none,none,Yes,73,65,65,65,65,275,65,65,65,39,9,3.161,0.687,1.0387,12.7833,6.066666667,193938.05,1.313,0.118,205.6834609,64.52927617,114.2191142,0.81,1.251,0.258,2.731,0.912,1.186,0.186,-18.05863213
6/6/12,NonUpwelling,Montipora,B,C15,4,none,none,No,74,80,80,80,80,291,80,none,none,42,11.51,3.203,0.591,0.524361425,9.4874,6.38575152,117514.29,,,,,187.6606684,1.108,1.023,0.268,2.919,1.835,0.887,0.174,-12.43190079
6/6/12,NonUpwelling,Montipora,B,C31,5,none,none,Yes,75,61,61,61,61,271,61,61,61,53,14.02,3.622,0.648,1.098937233,12.475,5.859486448,54526.32,1.974,0.178,217.5982592,47.12927821,93.36609337,0.272,0.607,0.252,2.363,0.988,2.163,0.165,-12.9126524
6/6/12,NonUpwelling,Montipora,B,C31,6,none,none,Yes,76,62,62,62,62,274,62,62,62,82,20.79,4.449,1.062,1.667215007,14.7908,7.493987494,97846.15,1.339,0.121,226.6712881,34.91717803,114.7058824,0.728,0.403,0.337,3.32,1.334,1.196,0.163,-13.87718147
6/6/12,NonUpwelling,Montipora,B,C31,7,none,none,Yes,77,60,60,60,60,272,60,60,60,32,9.5,4.497,0.738,1.054989474,11.7895,4.210526316,192897.64,0.431,0.039,142.5643767,48.31281259,57.14285714,0.685,1.025,0.28,3.477,1.444,2.95,0.191,-17.40556318
6/6/12,NonUpwelling,Montipora,B,C15,8,none,none,No,78,78,78,78,78,289,78,none,none,30,6.74,4.169,0.413,0.30578635,8.0119,4.005934718,148460.87,,,,,58.93186004,0.552,0.554,0.187,1.999,1.973,1.086,0.194,-13.994666
6/6/12,NonUpwelling,Montipora,B,C31,9,none,none,No,79,79,79,79,79,290,79,none,none,41,10,3.145,0.691,0.44157,8.2,4.1,93394.74,,,,,140.9921671,0.911,0.324,0.288,2.074,1.336,0.987,0.189,-14.6826423
6/6/12,NonUpwelling,Montipora,B,C31,10,none,none,Yes,80,64,64,64,64,276,64,64,none,53,13.77,7.209,0.908,1.886753813,12.894,6.543209877,249405.41,0.905,0.082,,30.74736438,63.98104265,0.591,0.153,0.211,3.227,2.14,1.632,0.023,-14.52022995
6/9/12,Upwelling,Montipora,C,C15,1,none,none,Yes,81,85,85,85,85,297,85,85,none,52,22.3,4.756,0.628,0.919210762,5.9462,3.614349776,508468.53,0.71,0.055,,7.148080153,97.66454352,0.512,0.786,0.42,3.149,1.026,1.529,0.195,-13.35183332
6/9/12,Upwelling,Montipora,C,C15,2,none,none,Yes,82,82,82,82,82,292,82,82,82,74,23.55,6.544,0.832,1.799566879,9.8981,6.127388535,300588.24,0.341,0.026,53.91512656,5.128313627,43.77880184,0.711,0.472,0.275,2.324,1.201,0.932,0.177,-13.68341493
6/9/12,Upwelling,Montipora,C,C15,3,none,none,Yes,83,86,86,86,86,296,86,86,86,58,15.52,5.196,1.48,2.022525773,13.8273,8.782216495,202615.38,0.651,0.05,63.53652053,4.950295345,61.99460916,0.828,0.681,0.341,2.64,0.961,1.884,0.271,-10.89418568
6/9/12,Upwelling,Montipora,C,C15,4,none,none,Yes,84,84,84,84,84,294,84,84,84,52,14.27,4.528,1.226,1.917477225,12.5718,8.199018921,278573.96,0.767,0.059,58.67957617,5.20586872,98.98477157,1.15,1.063,0.375,2.991,0.87,1.337,0.308,-12.35095552
6/9/12,Upwelling,Montipora,C,C15,5,none,none,Yes,85,81,81,94,81,293,81,81,81,48,14.52,3.729,1.36,1.883305785,13.2231,7.933884298,145728.48,1.282,0.099,48.04005802,4.976345312,18.37270341,0.359,0.5,0.371,2.472,1.564,0.84,0.418,-12.08965439
6/9/12,Upwelling,Montipora,C,C15,6,none,none,Yes,86,83,83,83,83,295,83,83,83,58,14.27,4.464,1.532,1.955823406,13.616,7.519271198,300305.31,1.239,0.095,71.45877995,5.490912859,61.82795699,0.486,0.49,0.236,3.025,1.25,1.149,0.366,-11.22643384
6/9/12,Upwelling,Montipora,C,C15,7,none,none,No,87,105,105,105,105,316,105,none,none,88,15.02,7.256,2.049,3.434460719,21.0919,12.30359521,245486.19,,,,,91.56626506,1.096,1.184,0.318,3.678,0.722,1.909,0.328,-11.1717368
6/9/12,Upwelling,Montipora,C,C15,8,none,none,No,88,106,106,106,106,317,106,none,none,60,18.78,8.479,1.585,2.673162939,14.377,8.785942492,211536.59,,,,,82.84023669,1.112,0.721,0.292,4.147,0.965,1.674,0.153,-11.09427348
6/9/12,Upwelling,Montipora,C,C15,9,none,none,No,89,107,107,107,107,318,107,none,none,42,11.76,5.571,1.001,2.007857143,11.6071,5.357142857,173431.28,,,,,49.41176471,0.571,0.541,0.242,2.702,0.885,1.646,0.158,-12.11632985
6/9/12,Upwelling,Montipora,C,C15,10,none,none,No,90,108,108,93,108,319,108,none,none,45,15.27,4.824,0.94,1.793811395,13.8507,8.693516699,97693.55,,,,,118.9873418,1.002,1.194,0.232,3.462,0.88,1.695,0.31,-11.23666354
6/9/12,Upwelling,Montipora,D,C15,1,none,none,Yes,91,88,88,88,88,298,88,88,88,61,19.28,5.46,0.958,2.13468361,12.3392,7.593360996,240718.31,0.712,0.059,56.16531324,4.134471128,77.44107744,1.473,1.036,0.15,3.585,0.917,1.192,0.212,-12.62817039
6/9/12,Upwelling,Montipora,D,C15,2,none,none,No,92,112,112,112,112,322,112,none,none,42,19.28,5.126,0.748,1.430570539,7.9512,5.010373444,385474.58,,,,,97.56097561,3.207,2.361,0.289,4.005,0.663,1.76,0.213,-12.72067867
6/9/12,Upwelling,Montipora,D,C15,3,none,none,Yes,93,87,87,115,87,299,87,87,87,52,15.77,5.41,1.068,1.383918833,9.3976,5.440710209,221149.73,1.084,0.09,81.92986636,6.808046893,61.29032258,1.216,1.524,0.153,2.66,0.692,1.746,0.175,-10.904882
6/9/12,Upwelling,Montipora,D,C15,4,none,none,Yes,94,89,89,89,89,301,89,89,89,85,24.8,4.913,1.004,2.168528226,14.0524,8.739919355,,0.889,0.074,48.80226487,4.162234004,197.5308642,3.288,2.292,0.416,3.977,1.128,1.279,0.416,-11.86069906
6/9/12,Upwelling,Montipora,D,C15,5,none,none,No,95,110,110,99,110,320,110,none,none,43,8.25,9.626,2.098,3.837163636,22.9333,13.29090909,404429.58,,,,,128.358209,2.818,2.406,0.292,2.745,0.426,1.472,0.157,-11.39021186
6/9/12,Upwelling,Montipora,D,C15,6,none,none,Yes,96,90,90,90,90,300,90,90,90,57,13.77,6.09,1.13,2.563137255,10.3486,6.830065359,89963.27,0.888,0.074,44.1996464,4.275354548,60.2006689,1.548,1.199,0.243,2.27,1.596,0.727,0.226,-12.2497777
6/9/12,Upwelling,Montipora,D,C15,7,none,none,No,97,111,111,111,111,323,111,none,none,46,16.02,4.066,0.707,1.627228464,11.3421,6.460674157,90705.88,,,,,88.75739645,1.567,1.627,0.274,3.079,0.892,1.965,0.203,-12.37145051
6/9/12,Upwelling,Montipora,D,C15,8,none,none,No,98,109,109,109,109,321,109,none,none,30,15.02,5.471,1.163,1.42849534,12.9827,7.290279627,493061.54,,,,,87.10801394,1.531,1.296,0.228,2.434,1.107,1.719,0.334,-10.81155097
6/9/12,Upwelling,Montipora,D,C15,9,none,none,Yes,99,92,92,92,92,303,92,92,none,63,22.8,5.248,1.008,1.814565789,8.7039,6.217105263,138406.54,0.19,0.016,,4.297048613,120.6896552,1.636,1.431,0.357,3.796,1.593,2.108,0.241,-11.01589617
6/9/12,Upwelling,Montipora,D,C15,10,none,none,Yes,100,91,91,91,91,302,91,91,91,49,18.78,3.905,0.853,1.509920128,10.4366,6.261980831,108446.81,0.748,0.062,47.29293425,4.81509348,121.7948718,2.172,1.914,0.265,3.086,1.375,1.093,0.253,-10.74435945
