Clade	Subtype
CladeC	C21.19_HE579031
CladeC	C21.20_HE579032
CladeC	C21.21_HE579033
CladeC	C27.1_FJ461517
CladeC	C31.1_HQ630876
CladeC	C31.2_JF683332
CladeC	C31.3_JF683333
CladeC	C31.4_JF683334
CladeC	C31.5_HQ630877
CladeC	C31.6_HQ630878
CladeC	C31.9_HQ630879
CladeC	C31.10_HQ630880
CladeC	C32.1_JF683335
CladeC	C32.2_JF683336
CladeC	C42.1_
CladeC	C42.2_
CladeC	C45.1_
CladeC	C45.2_
CladeC	C45.3_FJ461522
CladeC	C1002_DQ838544
CladeC	C1003_DQ480639
CladeC	C1004_DQ480635
CladeC	C1005_DQ480633
CladeC	C1006_DQ480629
CladeC	C1007_DQ480624
CladeC	C1008_DQ480613
CladeC	C1009_DQ480608
CladeC	C1010_DQ480607
CladeC	C1011_DQ480605
CladeC	C1012_DQ480604
CladeC	C1013_DQ480642
CladeC	C1017_DQ174729
CladeC	C1018_DQ335408
CladeC	C1019_DQ335407
CladeC	C1020_DQ335392
CladeC	C1022_DQ335331
CladeC	C1023_DQ335330
CladeC	C1026_DQ335366
CladeC	C1027_DQ335360
CladeC	C1028_DQ335357
CladeC	C1030_DQ335353
CladeC	C1031_DQ335352
CladeC	C1033_DQ335350
CladeC	C1034_DQ335300
CladeC	C1039_AB190274
CladeC	C1040_AB190269
CladeC	C1041_AY186548
CladeC	C1043_DQ072721
CladeC	C1044_DQ068038
CladeC	C1045_DQ068036
CladeC	C1048_DQ068026
CladeC	C1051_AF195153
CladeC	C1052_AY186570
CladeC	C1053_AY186569
CladeC	C1054_AY186565
CladeC	C1055_DQ480640
CladeC	C1057_DQ480619
CladeC	C1059_DQ480609
CladeC	C1060_DQ480600
CladeC	C1061_AY186568
CladeC	C1063_DQ335403
CladeC	C1064_DQ335395
CladeC	C1065_DQ335388
CladeC	C1066_DQ335382
CladeC	C1067_DQ335381
CladeC	C1068_DQ335379
CladeC	C1069_DQ335375
CladeC	C1070_DQ335349
CladeC	C1071_DQ335302
CladeC	C1072_DQ335344
CladeC	C1073_DQ335332
CladeC	C1074_DQ335329
CladeC	C1075_DQ335328
CladeC	C1076_DQ335308
CladeC	C1077_DQ335316
CladeC	C1078_AB190271
CladeC	C1082_AB190267
CladeC	C1083_AY237300
CladeC	C1085_AY624605
CladeC	C1086_DQ182656
CladeC	C1087_DQ182655
CladeC	C1088_DQ182640
CladeC	C1089_AJ278598
CladeC	C1090_AB207191
CladeC	C1091_AB207186
CladeC	C1094_AJ291514
CladeC	C1096_DQ068023
CladeC	C1097_AJ311943
CladeC	C1098_DQ182641
CladeC	C1101_AB253787
CladeC	C1102_DQ335400
CladeC	C1103_AF427470
CladeC	C1104_AF427469
CladeC	C1105_DQ335394
CladeC	C1106_DQ335339
CladeC	C1107_DQ335359
CladeC	C1108_DQ335351
CladeC	C1109_DQ335338
CladeC	C1110_DQ335340
CladeC	C1111_DQ182645
CladeC	C1112_DQ335319
CladeC	C1114_AB207196
CladeC	C1115_AB190273
CladeC	C1116_AB190268
CladeC	C1118_AF180127
CladeC	C1119_DQ335404
CladeC	C1120_DQ335398
CladeC	C1122_DQ182654
CladeC	C1121_DQ335378
CladeC	C1123_DQ335363
CladeC	C1124_DQ335323
CladeC	C1126_DQ182653
CladeC	C1127_DQ182652
CladeC	C1129_DQ182651
CladeC	C1130_DQ480643
CladeC	C1131_DQ182650
CladeC	C1132_DQ182649
CladeC	C1133_DQ182648
CladeC	C1134_DQ182647
CladeC	C1135_DQ182646
CladeC	C1136_DQ182644
CladeC	C1137_DQ182643
CladeC	C1138_DQ182642
CladeC	C1139_DQ182639
CladeC	C1140_DQ182638
CladeC	C1141_DQ182636
CladeC	C1142_DQ182635
CladeC	C1143_DQ182634
CladeC	C1144_DQ182637
CladeC	C1145_EF634157
CladeC	C1146_EF656434
CladeC	C1147_EF656433
CladeC	C1148_EU040178
CladeC	C1149_AB294620
CladeC	C1150_AB294622
CladeC	C1151_AB294621
CladeC	C1153_AB294625
CladeC	C1154_AB294626
CladeC	C1155_AB294617
CladeC	C1156_AB294616
CladeC	C1158_AB294614
CladeC	C1159_AB294613
CladeC	C1160_AB294608
CladeC	C1161_AB294606
CladeC	C1162_AB294594
CladeC	C1163_AB294596
CladeC	C1164_AB294593
CladeC	C1165_AB294581
CladeC	C1166_AB294584
CladeC	C1167_AB294586
CladeC	C1168_AB294583
CladeC	C1169_AB294660
CladeC	C1170_AB294661
CladeC	C1171_AB294663
CladeC	C1172_AB294665
CladeC	C1173_AB294662
CladeC	C1174_AB294655
CladeC	C1175_AB294653
CladeC	C1176_AB294651
CladeC	C1177_AB294659
CladeC	C1178_AB294647
CladeC	C1179_AB294645
CladeC	C1180_AB294641
CladeC	C1181_AB294640
CladeC	C1182_AB294649
CladeC	C1183_AB294631
CladeC	C1184_AB294630
CladeC	C1185_AB294629
CladeC	C1186_AB294628
CladeC	C1187_AB294627
CladeC	C1188_EU099838
CladeC	C1189_EU099831
CladeC	C1190_EU099841
CladeC	C1191_EU099833
CladeC	C1192_EU099820
CladeC	C1193_EU099827
CladeC	C1194_EU099826
CladeC	C1195_EU099821
CladeC	C1196_EU099819
CladeC	C1197_EU099814
CladeC	C1198_EU099810
CladeC	C1199_EU099802
CladeC	C1200_EU099800
CladeC	C1201_EU099793
CladeC	C1202_EU099799
CladeC	C1203_EU099798
CladeC	C1204_EU074961
CladeC	C1205_EU074960
CladeC	C1206_EU074965
CladeC	C1207_EU074964
CladeC	C1208_EU074963
CladeC	C1209_EU074950
CladeC	C1210_EU074951
CladeC	C1211_EU074952
CladeC	C1212_EU074954
CladeC	C1213_EU074955
CladeC	C1214_EU074956
CladeC	C1215_EU074957
CladeC	C1216_EU074959
CladeC	C1217_EU074941
CladeC	C1218_EU074943
CladeC	C1219_EU074945
CladeC	C1220_EU074946
CladeC	C1221_EU074947
CladeC	C1222_EU074948
CladeC	C1223_EU074949
CladeC	C1224_EU074890
CladeC	C1225_EU074893
CladeC	C1226_EU074881
CladeC	C1227_EU074882
CladeC	C1228_EU074883
CladeC	C1229_EU074888
CladeC	C1230_EU074889
CladeC	C1231_EU074878
CladeC	C1232_EU118163
CladeC	C1233_EU118166
CladeC	C1234_EU118165
CladeC	C1235_EU118167
CladeC	C1236_EF473656
CladeC	C131_JF320826
CladeC	C1cstar_AY239364
CladeC	C1aa_HM185739
CladeC	C3ff_HM185740
CladeC	C68_AY589772
CladeH	H1_AM748602
CladeH	H1a_AM748612
CladeH	H1b_AM748604
CladeH	H2_AM748605
CladeH	H3_AM748606
CladeH	H4_AM748607
CladeH	H4a_AM748608
CladeH	H5_AM748609
CladeH	H5a_AM748611
CladeH	H5b_AM748610
CladeH	H6_AJ291520
CladeH	H100_AJ291513
CladeF	F1_AF333517
CladeF	F2_AJ830908
CladeF	F2a_AJ830911
CladeF	F2b_AJ291521
CladeF	F3.1_AM748565
CladeF	F3.1a_AM748566
CladeF	F3.2_AM748567
CladeF	F3.2a_AM748568
CladeF	F3.3_AM748569
CladeF	F3.4_AM748570
CladeF	F3.4a_AM748571
CladeF	F3.4b_AM748616
CladeF	F4.1_AM748572
CladeF	F4.1a_AM748573
CladeF	F4.1b_AJ621146
CladeF	F4.2_AM748574
CladeF	F4.2a_AM748575
CladeF	F4.2b_AM748576
CladeF	F4.2c_AM748577
CladeF	F4.3_AM748578
CladeF	F4.3a_AM748579
CladeF	F4.3b_AM748580
CladeF	F4.3c_AM748581
CladeF	F4.4_AM748582
